,Compound Score,Date,Negative Sentiment,Neutral Sentiment,Order Position,Positive Sentiment,Source,Tweet
0,0.0,Sun Mar 11 21:48:23 +0000 2018,0.0,1.0,0,0.0,BBC News (World),Putin ordered plane to be downed in 2014 https://t.co/Nm2mWaSboe
1,0.0,Sun Mar 11 21:04:29 +0000 2018,0.0,1.0,1,0.0,BBC News (World),Martin Selmayr: The man at the heart of a Brussels saga https://t.co/77exuTT1bG
2,0.0,Sun Mar 11 19:43:26 +0000 2018,0.0,1.0,2,0.0,BBC News (World),"Trump-North Korea meeting: US 'knows the risks', says spy chief https://t.co/dcaLR1BTYX"
3,-0.7579,Sun Mar 11 17:47:47 +0000 2018,0.448,0.552,3,0.0,BBC News (World),Missing Spanish boy Gabriel Cruz found dead in car https://t.co/4npjZ7xzGH
4,-0.6249,Sun Mar 11 17:47:47 +0000 2018,0.421,0.579,4,0.0,BBC News (World),Iran plane crash: Turkish private jet 'catches fire' https://t.co/UZy9IWrhze
5,0.4019,Sun Mar 11 16:14:07 +0000 2018,0.0,0.803,5,0.197,BBC News (World),'National Rally': Le Pen proposes new party name for National Front https://t.co/cqhyFGPjkU
6,0.0,Sun Mar 11 15:47:13 +0000 2018,0.0,1.0,6,0.0,BBC News (World),Black Panther film: 'Game-changing' movie takes $1bn https://t.co/kxPfHLDMg6
7,-0.1027,Sun Mar 11 15:17:25 +0000 2018,0.149,0.851,7,0.0,BBC News (World),Eastern Ghouta: Mattis warns Syria over 'weaponised gas' https://t.co/lfjAobGBit
8,-0.4939,Sun Mar 11 13:58:05 +0000 2018,0.144,0.856,8,0.0,BBC News (World),"RT @BBCSteveR: ""Deadly place"": Russian state TV today surmises that Britain poisoned Sergei Skripal. ""Only the British stand to benefit...t…"
9,-0.2023,Sun Mar 11 13:49:23 +0000 2018,0.184,0.816,9,0.0,BBC News (World),Colombia election: Former Farc rebels face first ballot https://t.co/BMR5lUOnpO
10,-0.6705,Sun Mar 11 13:17:23 +0000 2018,0.391,0.609,10,0.0,BBC News (World),Rwanda Seventh-Day Adventist churchgoers killed by lightning https://t.co/EycF4eHHye
11,0.0,Sun Mar 11 12:36:47 +0000 2018,0.0,1.0,11,0.0,BBC News (World),Russia 'test-fires hypersonic Kinzhal missile' https://t.co/5WvNVQRcqT
12,0.3612,Sun Mar 11 12:30:36 +0000 2018,0.0,0.889,12,0.111,BBC News (World),"RT @BBCKarishma: ""The packed out rally looked and felt like the start of the presidential campaign....Trump announced that his 2020 re-elec…"
13,0.0,Sun Mar 11 11:27:32 +0000 2018,0.0,1.0,13,0.0,BBC News (World),Trump's not so new election slogan https://t.co/sNSQ6ciWtQ
14,0.0,Sun Mar 11 10:53:59 +0000 2018,0.0,1.0,14,0.0,BBC News (World),Climbing Mount Everest while doing 'keepy uppies' https://t.co/j0bjVb3VTT
15,0.0,Sun Mar 11 10:45:56 +0000 2018,0.0,1.0,15,0.0,BBC News (World),RT @BBCBreaking: Up to 500 Salisbury pub-goers and diners told to wash possessions as precaution after nerve agent traces found https://t.c…
16,0.4939,Sun Mar 11 09:38:57 +0000 2018,0.0,0.686,16,0.314,BBC News (World),Frozen music: The festival with ice instruments https://t.co/J5YZEVFJrG
17,-0.2263,Sun Mar 11 09:35:11 +0000 2018,0.192,0.808,17,0.0,BBC News (World),Priya Varrier: The actress whose wink stopped India https://t.co/Q9OGT8oi5w
18,0.6369,Sun Mar 11 09:31:22 +0000 2018,0.0,0.656,18,0.344,BBC News (World),Trump: N Korea talks could bring world's 'greatest deal' https://t.co/f3Vu1oPONN
19,0.4019,Sun Mar 11 08:28:41 +0000 2018,0.0,0.876,19,0.124,BBC News (World),RT @BBCBreaking: China's President Xi Jinping could stay in power for life after parliament approves measure to change constitution https:/…
20,-0.0772,Sun Mar 11 05:31:09 +0000 2018,0.252,0.452,20,0.297,BBC News (World),Bono apologises after One charity hit by bullying allegations https://t.co/wd4ONOuw9B
21,0.0,Sun Mar 11 05:10:01 +0000 2018,0.0,1.0,21,0.0,BBC News (World),China's 'president for life': Congress to vote on abolishing term limits https://t.co/3FNW4eYcqi
22,0.0,Sun Mar 11 01:55:44 +0000 2018,0.0,1.0,22,0.0,BBC News (World),Fukushima's long road to recovery https://t.co/r6TfmupKaB
23,-0.296,Sun Mar 11 01:40:55 +0000 2018,0.239,0.761,23,0.0,BBC News (World),The people trying to stop celebratory shooting https://t.co/ulXPWtGfTT
